,name,latitude,longitude,numberofdaycare
0,Curse,37.787092,-122.399972,42
1,Grockit,37.775196,-122.419204,44
2,MocoSpace,42.350274,-71.058768,33
3,OMGPOP,40.723384,-74.001704,43
4,FlowPlay,47.6015315,-122.335943,26
5,GamerDNA,42.375392,-71.118487,33
6,PlaySpan,37.396312,-121.961396,13
7,PlayFirst,37.790346,-122.40185,42
8,Challenge Games,30.268236,-97.740651,11
9,Outspark,37.775196,-122.419204,44
10,Zynga,37.765158,-122.404234,43
11,RocketOn,37.65466,-122.40788,10
12,TwoFish,37.522281,-122.258139,25
13,Three Rings,37.775196,-122.419204,44
14,Social Gaming Network,37.446823,-122.161523,22
15,Social Gaming Network,34.0698494,-118.4054182,9
16,crowdSPRING,41.88583,-87.657354,41
17,99designs,37.7955307,-122.4005983,42
18,99designs,-37.8026587,144.9868546,42
19,99designs,52.4986199,13.4469031,45
20,Akoha,45.516545,-73.578477,40
21,Playfish,51.4991094,-0.1984802,23
22,Playfish,69.636216,18.931062,5
23,Pikum,51.539778,-0.152998,14
24,Realtime Worlds,56.461428,-2.968111,0
25,Realtime Worlds,40.010492,-105.276843,9
26,Cellufun,40.73993,-73.9930489,44
27,eRepublik,40.43094,-3.6952896,26
28,WeeWorld,42.4588999,-71.3495213,1
29,WeeWorld,55.8631705,-4.2635168,3
30,Turbine,37.477652,-122.223384,18
31,Turbine,42.214483,-71.185964,7
32,Sometrics,34.048857,-118.251343,13
33,PurePlay,37.775196,-122.419204,44
34,Riot Games,34.0025911,-118.3942383,17
35,Minted,37.797435,-122.403175,42
36,Smule,37.779624,-122.391236,41
37,GotGame,37.77772,-122.395785,42
38,Double Fusion,37.7887135,-122.3927145,42
39,Unkasoft Advergaming,40.4474363,-3.6714915,26
40,Unkasoft Advergaming,41.0016627,-5.6937933,0
41,Geewa,50.0938491,14.4505336,39
42,Crispy Gamer,40.750597,-73.985273,42
43,Owlient,48.8308091,2.3032201,17
44,SCVNGR,42.3406534,-71.0680027,34
45,Virgin Play,40.4273082,-3.6895115,26
46,NetLogic Microsystems,37.420408,-122.088466,20
47,Bigpoint,53.5973055,9.9762519,42
48,Altobeam,55.902143,-3.208711,3
