,_id,name,total_money_raised,latitude,longitude,geometry
0,5e41272299bd8e3148da766e,Curse,$12M,37.787092,-122.399972,POINT (-122.399972 37.787092)
2,5e41272299bd8e3148da76bd,Grockit,$44.7M,37.775196,-122.419204,POINT (-122.419204 37.775196)
3,5e41272299bd8e3148da77cf,MocoSpace,$10.5M,42.350274,-71.058768,POINT (-71.058768 42.350274)
4,5e41272299bd8e3148da7816,OMGPOP,$16.6M,40.723384,-74.001704,POINT (-74.001704 40.723384)
6,5e41272299bd8e3148da7863,FlowPlay,$3.97M,47.6015315,-122.335943,POINT (-122.335943 47.6015315)
7,5e41272299bd8e3148da788c,GamerDNA,$3M,42.375392,-71.118487,POINT (-71.118487 42.375392)
8,5e41272299bd8e3148da78cb,PlaySpan,$46.3M,37.396312,-121.961396,POINT (-121.961396 37.396312)
10,5e41272299bd8e3148da7a63,WildTangent,$84M,37.09024,-95.712891,POINT (-95.712891 37.09024)
11,5e41272299bd8e3148da7a90,PlayFirst,$37.7M,37.790346,-122.40185,POINT (-122.40185 37.790346)
13,5e41272299bd8e3148da7a9e,Challenge Games,$14.5M,30.268236,-97.740651,POINT (-97.740651 30.268236)
14,5e41272299bd8e3148da7ad9,Outspark,$23.3M,37.775196,-122.419204,POINT (-122.419204 37.775196)
17,5e41272299bd8e3148da7b2d,Zynga,$860M,37.765158,-122.404234,POINT (-122.404234 37.765158)
19,5e41272299bd8e3148da7bae,RocketOn,$5.8M,37.65466,-122.40788,POINT (-122.40788 37.65466)
20,5e41272299bd8e3148da7bf5,TwoFish,$9.5M,37.522281,-122.258139,POINT (-122.258139 37.522281)
21,5e41272299bd8e3148da7c02,Three Rings,$7M,37.775196,-122.419204,POINT (-122.419204 37.775196)
22,5e41272299bd8e3148da7c6b,Social Gaming Network,$17.1M,37.446823,-122.161523,POINT (-122.161523 37.446823)
23,5e41272299bd8e3148da7c6f,Social Gaming Network,$17.1M,34.0698494,-118.4054182,POINT (-118.4054182 34.0698494)
24,5e41272299bd8e3148da7da8,crowdSPRING,$3M,41.88583,-87.657354,POINT (-87.657354 41.88583)
25,5e41272299bd8e3148da7dbb,99designs,$35M,37.7955307,-122.4005983,POINT (-122.4005983 37.7955307)
26,5e41272299bd8e3148da7dbd,99designs,$35M,-37.8026587,144.9868546,POINT (144.9868546 -37.8026587)
27,5e41272299bd8e3148da7dbe,99designs,$35M,52.4986199,13.4469031,POINT (13.4469031 52.4986199)
28,5e41272299bd8e3148da7de8,Akoha,$1.9M,45.516545,-73.578477,POINT (-73.57847700000001 45.516545)
29,5e41272299bd8e3148da7ef3,Playfish,$21M,51.4991094,-0.1984802,POINT (-0.1984802 51.4991094)
30,5e41272299bd8e3148da7ef5,Playfish,$21M,69.636216,18.931062,POINT (18.931062 69.636216)
31,5e41272299bd8e3148da7f5c,KidZui,$18.4M,37.09024,-95.712891,POINT (-95.712891 37.09024)
32,5e41272299bd8e3148da7ff8,Pikum,$5.92M,51.539778,-0.152998,POINT (-0.152998 51.539778)
33,5e41272299bd8e3148da806e,Realtime Worlds,$82.8M,56.461428,-2.968111,POINT (-2.968111 56.461428)
34,5e41272299bd8e3148da806f,Realtime Worlds,$82.8M,40.010492,-105.276843,POINT (-105.276843 40.010492)
35,5e41272299bd8e3148da809f,Cellufun,$5.23M,40.73993,-73.9930489,POINT (-73.99304890000001 40.73993)
36,5e41272299bd8e3148da80ae,eRepublik,€2.75M,40.43094,-3.6952896,POINT (-3.6952896 40.43094)
39,5e41272299bd8e3148da82c0,WeeWorld,$15.5M,42.4588999,-71.3495213,POINT (-71.34952130000001 42.4588999)
40,5e41272299bd8e3148da82c3,WeeWorld,$15.5M,55.8631705,-4.2635168,POINT (-4.2635168 55.8631705)
41,5e41272299bd8e3148da83a9,Turbine,$76.6M,37.477652,-122.223384,POINT (-122.223384 37.477652)
42,5e41272299bd8e3148da83ae,Turbine,$76.6M,42.214483,-71.185964,POINT (-71.185964 42.214483)
43,5e41272299bd8e3148da8534,Sometrics,$5.55M,34.048857,-118.251343,POINT (-118.251343 34.048857)
45,5e41272299bd8e3148da8661,PurePlay,$15M,37.775196,-122.419204,POINT (-122.419204 37.775196)
48,5e41272399bd8e3148da8d45,Riot Games,$8M,34.0025911,-118.3942383,POINT (-118.3942383 34.0025911)
49,5e41272399bd8e3148da8e97,Minted,$52.7M,37.797435,-122.403175,POINT (-122.403175 37.797435)
58,5e41272399bd8e3148da9b30,Smule,$25.5M,37.779624,-122.391236,POINT (-122.391236 37.779624)
59,5e41272399bd8e3148da9d7d,GotGame,$1M,37.77772,-122.395785,POINT (-122.395785 37.77772)
61,5e41272399bd8e3148daa9d1,Double Fusion,$59M,37.7887135,-122.3927145,POINT (-122.3927145 37.7887135)
62,5e41272399bd8e3148daabc8,Unkasoft Advergaming,€1.75M,40.4474363,-3.6714915,POINT (-3.6714915 40.4474363)
64,5e41272399bd8e3148daabcb,Unkasoft Advergaming,€1.75M,41.0016627,-5.6937933,POINT (-5.6937933 41.0016627)
68,5e41272499bd8e3148dab183,Geewa,€1.5M,50.0938491,14.4505336,POINT (14.4505336 50.0938491)
70,5e41272499bd8e3148dab2b2,Crispy Gamer,$8.25M,40.750597,-73.985273,POINT (-73.98527300000001 40.750597)
72,5e41272499bd8e3148dab57c,Owlient,€3M,48.8308091,2.3032201,POINT (2.3032201 48.8308091)
73,5e41272499bd8e3148dab589,SCVNGR,$40.8M,42.3406534,-71.0680027,POINT (-71.06800269999999 42.3406534)
76,5e41272499bd8e3148dabd99,Virgin Play,$3.86M,40.4273082,-3.6895115,POINT (-3.6895115 40.4273082)
